Dam Name,Other Names,Former Names,NID ID,Other Structure ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,Number of Associated Structures,Is Associated Structure?,Designer Names,Non-Federal Dam on Federal Property,Primary Purpose,Purposes,Source Agency,State or Federal Agency ID,Latitude,Longitude,State,County,City,Distance to Nearest City (Miles),River or Stream Name,Congressional District,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Federally Regulated Dam,Federal Agency Owners,Federal Agency Involvement Funding,Federal Agency Involvement Design,Federal Agency Involvement Construction,Federal Agency Involvement Regulatory,Federal Agency Involvement Inspection,Federal Agency Involvement Operation,Federal Agency Involvement Other,Built Under the Authority of the Secretary of Agriculture,NRCS Watershed Dam Authorization,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,Years Modified,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Number of Locks,Length of Locks (ft),Lock Width (Ft),Length of Secondary Lock (Ft),Secondary Lock Width (Ft),Outlet Gate Type,Data Last Updated,Last Inspection Date,Inspection Frequency,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,EAP Prepared,EAP Last Revision Date,Website URL,Operational Status,Operational Status Date,Inundation Maps Added to NID?,American Indian/Alaska Native/Native Hawaiian,Dam Status,Deleted Reason,Has Photo?,FEMA_Flood_Zone,FEMA_Zone_Subtype,FEMA_In_SFHA,Flood_Risk_Category,Snap_Distance_m,NHD_Snap_Flag,NHD_Snap_Source,NHD_River_Name,NHD_Permanent_ID,HUC8_Code,HUC8_Name,HUC12_Code,HUC12_Name,Valid_Snap,County_Population
New Camp Hydaway Dam,Camp Hydaway Lake Expansion Dam,,VA031035,,VA031035,Liberty University,Private,Private,,No,Dewberry;Dewberry Engineers Inc.,No,Recreation,Recreation,Virginia,31035,37.3446,-79.143,Virginia,Campbell,Lynchburg,4.9,Opposum Creek - VAHU6 JM11 James River - Opossum Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,Unlisted/Unknown,Rock;Soil,64.0,,,64,51-100 feet,820.0,,,Undetermined,,1300.45,1300.45,579.18,37.49,2.69,,,,,,,,,,10/25/2023,,0.0,High,Not Rated,,Yes,5/13/2020,https://damsafety.org/virginia,,,No,,Active,,No,A,,True,High,24.15937001322568,OK,FLOWLINE,Opossum Creek,39912398,2080203.0,Middle James-Buffalo,20802030305.0,Opossum Creek-James River,True,55518
Upper Sherando SCS 27,South River No. 27 Dam,,VA015003,,VA015003,USDA FS,Federal,Federal,0.0,No,USDA NRCS,No,Flood Risk Reduction,Flood Risk Reduction;Fish and Wildlife Pond;Recreation,Forest Service,080805 0045,37.91646389,-79.01721111,Virginia,Augusta,,0.0,N FORK BACK CREEK,"Virginia, Congressional District 06",No,No,,No,No,No,Yes,Forest Service,Forest Service;Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,Forest Service,Forest Service;Natural Resources Conservation Service,Forest Service,,Yes,Flood Control Act of 1944 (Public Law 78-534),Earth,Earth,Earth,Rock;Soil,59.0,52.0,57.0,59,51-100 feet,950.0,0.0,1958.0,1950-1959,2002O,763.0,763.0,36.0,0.0,3.0,9200.0,Controlled,,,,,,,Slide (sluice gate),5/17/2021,3/19/2020,1.0,High,Not Rated,,Yes,,https://www.fs.usda.gov/eng/dams/,,,No,,Active,,No,No Data,,False,Unknown,26.60785023868644,OK,WATERBODY,Upper Sherando Lake,41388123,2070005.0,South Fork Shenandoah,20700050703.0,Inch Branch-Back Creek,True,77433
20776 Dockside Terrace Dam,Lowes Island Blvd. Embankment  W/ Embedded Utilities & Storm Drains,,VA107043,,VA107043,Cascades Community Association Inc. & VDOT,Private,Private,0.0,No,,,Flood Risk Reduction,Flood Risk Reduction,Virginia,107043,39.0405,-77.3552,Virginia,Loudoun,,0.1,Un-named TR to Sugarland Run,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,26.0,,,26,25-50 feet,267.0,,,Undetermined,,74.9,74.9,,,,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,1 PCT DRAINAGE AREA LESS THAN 1 SQUARE MILE,False,Low,0.9772011480275448,OK,FLOWLINE,,51757633,2070008.0,Middle Potomac-Catoctin,20700080905.0,Sugarland Run,True,420773
Brambleton Land Bay 3 Pond 6 Dam,Formerly Referred To As: Brambleton Land Bay 3 - Pond 6,,VA107039,,VA107039,Brambleton Group LLC,Private,Private,0.0,No,Brambleton Group LLC,,Flood Risk Reduction,Flood Risk Reduction,Virginia,107039,38.967,-77.5194,Virginia,Loudoun,,0.1,TR-Broad Run,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,14.0,,,14,Less than 25 feet,520.0,,,Undetermined,,79.2,79.2,21.6,6.2,0.86,,,,,,,,,,12/4/2022,1/15/2021,1.0,High,Satisfactory,1/15/2021,Yes,5/9/2004,https://damsafety.org/virginia,Not Applicable,4/18/2022,No,,Active,,No,X,1 PCT DRAINAGE AREA LESS THAN 1 SQUARE MILE,False,Low,25.80700253897512,OK,WATERBODY,,51772739,2070008.0,Middle Potomac-Catoctin,20700080901.0,Lenah Run-Broad Run,True,420773
Bush River Dam # 5,Camp Creek Lake,,VA147039,,VA147039,Piedmont Soil and Water Conservation District;Piedmont Soil and Water Conservation District,Local Government,Local Government,0.0,No,USDA NRCS;Virginia DCR - Division of Soil and Water Conservation,,Flood Risk Reduction,Flood Risk Reduction,Virginia,147039,37.1507,-78.384,Virginia,Prince Edward,,3.0,CAMP CREEK,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,Unlisted/Unknown,39.0,,,39,25-50 feet,580.0,,,Undetermined,,1008.0,1008.0,398.0,17.5,2.03,,,,,,,,,,12/4/2022,6/17/2021,6.0,Low,Satisfactory,6/17/2021,Yes,11/7/2016,https://damsafety.org/virginia,Normal Operations,6/18/2022,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,23.10370793635838,OK,WATERBODY,Camp Creek,{BE796069-9124-4A70-A8B6-7491890EA0CD},2080207.0,Appomattox,20802070302.0,Evans Creek-Bush River,True,21922
Roanoke Creek Dam # 68,Elders Lake,,VA037004,,VA037004,Southside Soil and Water Conservation District,Local Government,Local Government,0.0,No,USDA NRCS,,Flood Risk Reduction,Flood Risk Reduction,Virginia,37004,37.0837,-78.5289,Virginia,Charlotte,Keysville,3.8,Spencers Creek - VAHU6 RU81 Roanoke Creek - Spring Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,Unlisted/Unknown,32.0,32.0,32.0,32,25-50 feet,720.0,,,Undetermined,,1575.0,1575.0,140.0,30.2,4.2,,Uncontrolled,100.0,0.0,0.0,0.0,,,Uncontrolled0;Uncontrolled0;Uncontrolled0,12/4/2022,11/18/2019,1.0,High,Fair,11/18/2019,Yes,11/9/2016,https://damsafety.org/virginia,"Under Investigation, Planning, Permitting, or Design for Remediation",6/18/2022,No,,Active,,No,A,,True,High,22.00169908265189,OK,WATERBODY,Roanoke Creek Site 68 Lake,150401080,3010102.0,Middle Roanoke,30101020501.0,Spring Creek-Roanoke Creek,True,11563
Brunswick Lake Dam,Brunswick County Dam;Brunswick County Pond;Lake Brunswick Dam,,VA025001,,VA025001,Virginia Department of Wildlife Resources,State,State,0.0,No,Virginia Department of Game and Inland Fisheries,,Recreation,Recreation,Virginia,25001,36.7812,-77.7286,Virginia,Brunswick,Lawrenceville,6.8,Reedy Creek - VAHU6 CM18 Reedy Creek,"Virginia, Congressional District 04",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,25.0,25.0,25.0,25,25-50 feet,620.0,,,Undetermined,,2700.0,2700.0,1311.0,160.0,15.7,,,,,,,,,,12/4/2022,3/17/2021,1.0,High,Poor,3/17/2021,Yes,7/3/2008,https://damsafety.org/virginia,"Under Investigation, Planning, Permitting, or Design for Remediation",6/18/2022,No,,Active,,No,A,,True,High,2.9859299366994,OK,FLOWLINE,Reedy Creek,155796367,3010204.0,Meherrin,30102040602.0,Reedy Creek,True,15965
Wolfsnare Lake Dam,City No. 13;Southern Points/Wolfsnare Plantation,,VA810017,,VA810017,Southern Points/Wolfsnare Plantation,Private,Private,0.0,No,,,Flood Risk Reduction,Flood Risk Reduction,Virginia,810017,36.8572,-76.0578,Virginia,Virginia Beach,Virginia Beach,4.5,Wolfsnare Creek - VAHU6 CB25 Lynnhaven River Eastern Branch,"Virginia, Congressional District 02",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,Unlisted/Unknown,7.0,7.0,7.0,7,Less than 25 feet,450.0,,,Undetermined,,217.0,217.0,105.0,35.0,0.44,,,,,,,,,,12/4/2022,9/9/2009,,Undetermined,Satisfactory,9/9/2009,No,,https://damsafety.org/virginia,Not Applicable,3/10/2021,No,,Active,,No,AE,,True,High,0.0,OK,WATERBODY,Wolfsnare Creek,137440831,2080108.0,Lynnhaven-Poquoson,20801080201.0,Lynnhaven River,True,457900
Harrells Pond Dam,Harrells Mill Road Dam,,VA183038,,VA183038,"Harrells Mill Properties, Inc.",Private,Private,,No,,,Recreation,Recreation,Virginia,183038,36.9982,-77.0726,Virginia,Sussex,Waverly,2.88,Confluence of the main stem and Quaker Branch of Coppahaunk Swamp - VAHU6 CU57 - Blackwater River - Coppahaunk Swamp,"Virginia, Congressional District 04",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,11.0,11.0,11.0,11,Less than 25 feet,1280.0,,,Undetermined,,50.0,50.0,,38.8,7.33,,,,,,,,,,10/10/2023,1/8/2020,,Undetermined,Not Rated,1/8/2020,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,A,,True,High,23.5256119148474,OK,WATERBODY,Coppahaunk Swamp,129538806,3010202.0,Blackwater,30102020203.0,Coppahaunk Swamp-Blackwater River,True,10866
Briery Creek Lake Dam,Bush River Dam # 1e,,VA147037,,VA147037,Virginia Department of Wildlife Resources,State,State,0.0,No,USDA NRCS,,Recreation,Recreation;Flood Risk Reduction,Virginia,147037,37.2047,-78.4434,Virginia,Prince Edward,Farmville,7.3,Briery Creek - VAHU6 JA10 Briery Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,Unlisted/Unknown,64.0,64.0,64.0,64,51-100 feet,920.0,,,Undetermined,,21378.0,21378.0,636.0,810.0,24.8,,Uncontrolled,200.0,0.0,0.0,0.0,,,Uncontrolled0;Uncontrolled0,12/4/2022,2/23/2021,1.0,High,Fair,2/23/2021,Yes,8/1/2014,https://damsafety.org/virginia,Normal Operations,6/18/2022,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,24.988084068838937,OK,WATERBODY,Briery Creek,61501385,2080207.0,Appomattox,20802070301.0,Briery Creek,True,21922
Dominion Virginia City Dam #2,Curley Hollow Solid Waste Management Facility Final Leachate Pond,,VA195025,,VA195025,Virginia Electric and Power Company;Virginia Electric and Power Company;Virginia Electric and Power Company,Public Utility,Public Utility,0.0,No,,,Flood Risk Reduction,Flood Risk Reduction;Tailings,Virginia,195025,36.925,-82.3482,Virginia,Wise,,0.2,Meade Creek,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,40.0,,,40,25-50 feet,180.0,,,Undetermined,,114.0,114.0,11.6,5.6,0.19,,,,,,,,,,12/4/2022,11/10/2021,1.0,High,Satisfactory,11/10/2021,Yes,8/17/2022,https://damsafety.org/virginia,Normal Operations,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,210689.60865590075,INVALID,NONE,,,,,,,False,36105
Bridgeforth Mill Dam,Beaver Dam;Beaver Pond;Bridgeforth Mill Lake,,VA007004,,VA007004,Bridgeforth Mill Owners Association,Private,Private,0.0,No,,,Recreation,Recreation,Virginia,7004,37.2969,-77.8823,Virginia,Amelia,Burkeville,17.7,Beaverpond Creek VAHU6 JA33 Deep Creek - Beaverpond Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,Unlisted/Unknown,14.0,14.0,14.0,14,Less than 25 feet,,,,Undetermined,,604.8,604.8,360.0,56.4,16.24,,Uncontrolled,2.0,0.0,0.0,0.0,,,Uncontrolled0;Uncontrolled0;Uncontrolled0,12/4/2022,10/28/2021,1.0,High,Satisfactory,10/28/2021,Yes,1/19/2022,https://damsafety.org/virginia,Normal Operations,6/18/2022,No,,Active,,No,A,,True,High,2.953333735993912,OK,FLOWLINE,Beaverpond Creek,61478951,2080207.0,Appomattox,20802070705.0,Beaverpond Creek-Deep Creek,True,13309
Upper Izaak Walton Dam,,,VA009032,,VA009032,Izaak Walton League of Lynchburg (IWLL);Izaak Walton League of Lynchburg (IWLL),Private,Private,0.0,No,"Hurt and Proffitt, Inc.",,Recreation,Recreation,Virginia,9032,37.5051,-79.0835,Virginia,Amherst,Lynchburg,6.9,North Fork of Stovall Creek - VAHU6 JM14 James River - Stonewall Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,25.0,25.0,25.0,25,25-50 feet,350.0,,,Undetermined,,61.0,61.0,43.07,5.0,0.23,,Uncontrolled,24.0,0.0,0.0,0.0,,,Uncontrolled0;Uncontrolled0;Uncontrolled0,12/4/2022,8/28/2020,3.0,Significant,Satisfactory,8/28/2020,Yes,5/27/2020,https://damsafety.org/virginia,Normal Operations,1/5/2021,No,,Active,,No,No Data,,False,Unknown,17.49922710658792,OK,WATERBODY,North Fork Stovall Creek,39950148,2080203.0,Middle James-Buffalo,20802030402.0,Stonewall Creek-James River,True,31426
Lower Izaak Walton Dam,,,VA009007,,VA009007,Izaak Walton League of Lynchburg (IWLL);Izaak Walton League of Lynchburg (IWLL),Private,Private,0.0,No,"Hurt and Proffitt, Inc.",,Recreation,Recreation,Virginia,9007,37.5031,-79.0804,Virginia,Amherst,Lynchburg,6.88,North Fork of Stovall Creek - VAHU6 JM14 James River - Stonewall Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,22.0,22.0,22.0,22,Less than 25 feet,345.0,,,Undetermined,,50.0,50.0,50.0,4.21,0.07,,Uncontrolled,42.0,0.0,0.0,0.0,,,Uncontrolled0;Uncontrolled0;Uncontrolled0,12/4/2022,8/28/2020,3.0,Significant,Satisfactory,8/28/2020,Yes,5/27/2020,https://damsafety.org/virginia,Normal Operations,1/5/2021,No,,Active,,No,No Data,,False,Unknown,20.67991615034228,OK,WATERBODY,Izaak Walton Pond,39950156,2080203.0,Middle James-Buffalo,20802030402.0,Stonewall Creek-James River,True,31426
Moores Creek Dam,Ad Cox Knob Dam;Lexington Reservoir,,VA163003,,VA163003,City of Lexington;City of Lexington;City of Lexington,Local Government;Not Listed,Local Government,0.0,No,Thompson & Litton,,Water Supply,Water Supply,Virginia,163003,37.7473,-79.6462,Virginia,Rockbridge,Lexington,11.7,Moore Creek - VAHU6 JU83 North Buffalo Creek,"Virginia, Congressional District 06",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,Unlisted/Unknown,82.0,82.0,82.0,82,51-100 feet,850.0,,,Undetermined,,853.0,853.0,643.0,25.0,2.11,5920.0,Uncontrolled,100.0,0.0,0.0,0.0,,,Uncontrolled0;Uncontrolled0;Uncontrolled0,12/4/2022,10/4/2022,1.0,High,Satisfactory,10/4/2022,Yes,7/20/2018,https://damsafety.org/virginia,"Under Investigation, Planning, Permitting, or Design for Remediation",4/7/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,14.5132938663594,OK,WATERBODY,Lexington Reservoir,33557275,2080202.0,Maury,20802020503.0,North Buffalo Creek,True,22673
Roanoke Creek Dam # 67,Crab Orchard Lake,,VA037009,,VA037009,Southside Soil and Water Conservation District,Local Government,Local Government,0.0,No,USDA NRCS,,Flood Risk Reduction,Flood Risk Reduction,Virginia,37009,37.1085,-78.5346,Virginia,Charlotte,Charlotte Court House,6.6,Hills Creek - VAHU6 RU81 Roanoke Creek - Spring Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,Unlisted/Unknown,32.0,,,32,25-50 feet,775.0,,,Undetermined,,1470.0,1470.0,119.0,27.5,3.9,,Uncontrolled,120.0,0.0,0.0,0.0,,,Uncontrolled0;Uncontrolled0;Uncontrolled0,12/4/2022,11/19/2019,1.0,High,Fair,11/19/2019,Yes,11/9/2016,https://damsafety.org/virginia,"Under Investigation, Planning, Permitting, or Design for Remediation",6/18/2022,No,,Active,,No,A,,True,High,1.7606322388450113,OK,FLOWLINE,Hills Creek,150391868,3010102.0,Middle Roanoke,30101020501.0,Spring Creek-Roanoke Creek,True,11563
Lee Hall Reservoir Dam,Lower Lee Hall Reservoir Dam,,VA700001,,VA700001,City of Newport News Waterworks Department;City of Newport News Waterworks Department;City of Newport News Waterworks Department,Local Government;Public Utility,Local Government,0.0,No,Federal Highway Administration,,Water Supply,Water Supply;Recreation,Virginia,700001,37.1718,-76.5623,Virginia,Newport News,,0.1,WARWICK RIVER,"Virginia, Congressional District 03",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Gravity,Gravity,,,24.0,,,24,Less than 25 feet,1420.0,,,Undetermined,,4640.0,4640.0,3063.0,390.0,15.9,,,,,,,,,,12/4/2022,8/16/2022,1.0,High,Satisfactory,8/16/2022,Yes,1/31/2019,https://damsafety.org/virginia,Normal Operations,1/5/2021,No,,Active,,No,A,,True,High,12.37713687610519,OK,WATERBODY,City Reservoir,135653784,2080206.0,Lower James,20802060901.0,Warwick River,True,185118
Thoroughgood Dam,City No. 58;Lake Charles;Swan Lake,,VA810001,,VA810001,Thoroughgood Civic League,Private,Private,0.0,No,,,Flood Risk Reduction,Flood Risk Reduction,Virginia,810001,36.8896,-76.1185,Virginia,Virginia Beach,Virginia Beach,8.32,Wolfsnare Creek/Lynnhaven River Western Branch - VAHU6 CB25 Lynnhaven River,"Virginia, Congressional District 02",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,Unlisted/Unknown,8.0,8.0,8.0,8,Less than 25 feet,330.0,,,Undetermined,,133.0,133.0,55.5,18.5,0.27,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/26/2022,No,,Active,,No,AE,,True,High,26.601374220548067,OK,WATERBODY,Lake Charles,137440766,2080108.0,Lynnhaven-Poquoson,20801080201.0,Lynnhaven River,True,457900
Great Neck Lake # 7 Dam,City No. 50;Timber Lake,,VA810047,,VA810047,King's Grant Community League,Private,Private,0.0,No,,,Flood Risk Reduction,Flood Risk Reduction,Virginia,810047,36.8566,-76.0786,Virginia,Virginia Beach,Virginia Beach,5.83,Lynnhaven River Eastern Branch - VAHU6 CB25 Lynnhaven River,"Virginia, Congressional District 02",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,Unlisted/Unknown,7.0,7.0,7.0,7,Less than 25 feet,350.0,,,Undetermined,,70.0,70.0,26.4,13.2,0.52,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,0.0,OK,WATERBODY,,137440874,2080108.0,Lynnhaven-Poquoson,20801080201.0,Lynnhaven River,True,457900
Surry Power Station Dredge Material Management Area Perimeter Embankment Dam,Dmma Offsite,,VA181007,,VA181007,Dominion Virginia Power,Private,Private,0.0,No,"Schnabel Engineering South, PC",,Other,Other,Virginia,181007,37.1114,-76.6886,Virginia,Surry,Surry,8.0,Lawnes Creek - VAHU6 JL36 Lawnes Creek,"Virginia, Congressional District 04",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,Earth,Soil,21.0,21.0,21.0,21,Less than 25 feet,6190.0,,,Undetermined,,613.5,613.5,,43.6,0.09,113.0,Uncontrolled,5.0,0.0,0.0,0.0,,,Uncontrolled0;Uncontrolled0,12/4/2022,3/31/2022,6.0,Low,Satisfactory,3/31/2022,Yes,3/2/2021,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,383.2882871080674,REVIEW,FLOWLINE,,135633123,2080206.0,Lower James,20802060803.0,Lawnes Creek,True,6546
Prince Edward Dam,Lower Norton Reservoir;Prince Edward Lake;Twin Lakes State Park # 1,,VA147004,,VA147004,Department of Conservation & Recreation - Division of State Parks,State,State,0.0,No,Department of Conservation & Recreation - Division of State Parks,,Recreation,Recreation,Virginia,147004,37.1747,-78.2748,Virginia,Prince Edward,,0.2,TR-SANDY RIVER,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,37.0,37.0,37.0,37,25-50 feet,345.0,,1946.0,1940-1949,,600.0,600.0,370.0,27.0,1.62,,,,,,,,,,12/4/2022,10/12/2018,6.0,Low,Fair,10/12/2018,Yes,1/12/2015,https://damsafety.org/virginia,Normal Operations,6/18/2022,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,14.616748467024268,OK,WATERBODY,Prince Edward Lake,61499877,2080207.0,Appomattox,20802070305.0,Sandy River,True,21922
East Fork Falling River Dam # 7,Gala Lake,,VA011002,,VA011002,Robert E. Lee Soil and Water Conservation District,Local Government,Local Government,0.0,No,USDA NRCS,,Flood Risk Reduction,Flood Risk Reduction;Recreation,Virginia,11002,37.2746,-78.8922,Virginia,Appomattox,Lynchburg,18.4,Mulberry Creek - VAHU6 RU 66 Falling River - Mulberry Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,1953 Pilot Watershed Program (Public Law 83-156),Earth,Earth,,,47.0,,,47,25-50 feet,585.0,,,Undetermined,,1442.0,1442.0,117.0,20.0,5.1,,,,,,,,,,12/4/2022,3/18/2020,3.0,Significant,Fair,3/18/2020,Yes,4/30/2020,https://damsafety.org/virginia,"Under Investigation, Planning, Permitting, or Design for Remediation",4/7/2021,No,,Active,,No,A,,True,High,16.742027307818027,OK,FLOWLINE,Mulberry Creek,150393162,3010102.0,Middle Roanoke,30101020202.0,Mulberry Creek-Falling River,True,16253
Western Branch Dam,Western Branch Reservoir Dam,,VA800011,,VA800011,"City of Norfolk, Department of Utilities",Local Government,Local Government,0.0,No,GEI Consultants Inc.,,Water Supply,Water Supply;Recreation,Virginia,800011,36.8017,-76.5831,Virginia,Suffolk,Suffolk,4.63,Western Branch Nansemond River - VAHU6 JL47 Western Branch Reservoir,"Virginia, Congressional District 02",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,Unlisted/Unknown,41.0,41.0,41.0,41,25-50 feet,2400.0,,,Undetermined,,35300.0,35300.0,18000.0,1250.0,65.66,,Uncontrolled,500.0,0.0,0.0,0.0,,,Uncontrolled0;Uncontrolled0,12/4/2022,7/7/2020,1.0,High,Satisfactory,7/7/2020,Yes,9/16/2019,https://damsafety.org/virginia,Normal Operations,3/26/2022,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,0.0,OK,WATERBODY,Western Branch Reservoir,133282987,2080208.0,Hampton Roads,20802080104.0,Western Branch Reservoir,True,94856
Baker Mountain Tailings Pond Dam,Crocked Branch Dam;Industrial Waste Dam,,VA147014,,VA147014,Kyanite Mining Corporation,Private,Private,0.0,No,,,Tailings,Tailings,Virginia,147014,37.2136,-78.6286,Virginia,Prince Edward,Farmville,14.5,Crocked Branch of Spring Creek - VAHU6 JA06 Spring Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,Unlisted/Unknown,54.0,54.0,54.0,54,51-100 feet,1330.0,,,Undetermined,,578.0,578.0,60.0,6.0,1.22,321.0,Uncontrolled,100.0,0.0,0.0,0.0,,,Uncontrolled0;Uncontrolled0,12/4/2022,1/10/2020,6.0,Low,Satisfactory,1/10/2020,Yes,3/8/2019,https://damsafety.org/virginia,Normal Operations,6/18/2022,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,16.244252895951004,OK,WATERBODY,Industrial Waste Pond,61499963,2080207.0,Appomattox,20802070101.0,Spring Creek,True,21922
