Dam Name,Other Names,Former Names,NID ID,Other Structure ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,Number of Associated Structures,Is Associated Structure?,Designer Names,Non-Federal Dam on Federal Property,Primary Purpose,Purposes,Source Agency,State or Federal Agency ID,Latitude,Longitude,State,County,City,Distance to Nearest City (Miles),River or Stream Name,Congressional District,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Federally Regulated Dam,Federal Agency Owners,Federal Agency Involvement Funding,Federal Agency Involvement Design,Federal Agency Involvement Construction,Federal Agency Involvement Regulatory,Federal Agency Involvement Inspection,Federal Agency Involvement Operation,Federal Agency Involvement Other,Built Under the Authority of the Secretary of Agriculture,NRCS Watershed Dam Authorization,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,Years Modified,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Number of Locks,Length of Locks (ft),Lock Width (Ft),Length of Secondary Lock (Ft),Secondary Lock Width (Ft),Outlet Gate Type,Data Last Updated,Last Inspection Date,Inspection Frequency,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,EAP Prepared,EAP Last Revision Date,Website URL,Operational Status,Operational Status Date,Inundation Maps Added to NID?,American Indian/Alaska Native/Native Hawaiian,Dam Status,Deleted Reason,Has Photo?,FEMA_Flood_Zone,FEMA_Zone_Subtype,FEMA_In_SFHA,Flood_Risk_Category
Four Locusts Dam,,,VA037014,,VA037014,"G. O. Pettus, Jr.",Private,Private,0,No,,,Recreation,Recreation,Virginia,37014,37.0679,-78.4849,Virginia,Charlotte,,1,SPRING CREEK,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,24,,,24,Less than 25 feet,,,,Undetermined,,163,163,129,,0.27,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,6/18/2022,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
First Branch Dam,,,VA041046,,VA041046,"Highlands Community Assoc., Inc",Private,Private,0,No,,,Recreation,Recreation,Virginia,41046,37.3416,-77.5338,Virginia,Chesterfield,,,FIRST BRANCH,"Virginia, Congressional District 04",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,40,,,40,25-50 feet,495,,,Undetermined,,1100,1100,700,52,4.54,,,,,,,,,,12/4/2022,11/24/1998,3,Significant,Not Rated,11/24/1998,Yes,3/11/2005,https://damsafety.org/virginia,"Under Investigation, Planning, Permitting, or Design for Remediation",3/10/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Warrenton Lake Dam,,,VA061032,,VA061032,Ronald Wegemer,Private,Private,0,No,,,Recreation,Recreation,Virginia,61032,38.7393,-77.7739,Virginia,Fauquier,,1,TR-Cedar Run,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,24,,,24,Less than 25 feet,370,,,Undetermined,,112,112,46,9,0.6,,,,,,,,,,7/6/2023,2/10/2023,1,High,Fair,2/10/2023,Yes,2/10/2021,https://damsafety.org/virginia,Enforcement Pending/Ongoing,1/28/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Tyler Station Dam,Beaverdam Farm,,VA085085,,VA085085,,Not Listed,Not Listed,0,No,,,,,Virginia,85085,37.9353,-77.6722,Virginia,Hanover,,,trib. Beaverdam Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,18,,,18,Less than 25 feet,380,,,Undetermined,,53,53,,,0.33,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Godwin - Culpepper Dam,,,VA800016,,VA800016,,Not Listed,Not Listed,0,No,,,Recreation,Recreation,Virginia,800016,36.7829,-76.5457,Virginia,Suffolk,,0,TR-NANSEMOND RIVER,"Virginia, Congressional District 02",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,16,,,16,Less than 25 feet,,,,Undetermined,,216,216,60,,0.71,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/26/2022,No,,Active,,No,AE,,TRUE,High
Gregory Dam,,,VA143034,,VA143034,Louis W. Gregory,Private,Private,0,No,,,Recreation,Recreation;Irrigation,Virginia,143034,36.7941,-79.2015,Virginia,Pittsylvania,,0,TR-JOHNS RUN,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,28,,,28,25-50 feet,,,,Undetermined,,64,64,36,,0.17,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,Not Required,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Watermarks Dam,,,VA003113,,VA003113,"James River Farm, LLC",Private,Private,0,No,,,Recreation,Recreation,Virginia,3113,37.7733,-78.5417,Virginia,Albemarle,,,trib. James Rver,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,35,,,35,25-50 feet,,,,Undetermined,,138,138,,10,0.07,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Spotsylvania County Dam #8,177dd065  Ruffins Pond,,VA177035,,VA177035,,Not Listed,Not Listed,0,No,,,Other,Other,Virginia,177035,38.246,-77.4017,Virginia,Spotsylvania,,,,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,18,,,18,Less than 25 feet,1300,,1900,1900-1909,,1056.65,1056.65,765.08,123.4,38.14,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,FALSE,Low
Stevens Lake Dam,,,VA125006,,VA125006,Russel A. Stevens,Private,Private,0,No,,,Water Supply,Water Supply,Virginia,125006,37.7152,-78.9159,Virginia,Nelson,,,TR-BROWN CREEK,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,31,,,31,25-50 feet,,,,Undetermined,,38,38,20,,0.13,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Ferry Point Dam,,,VA800015,,VA800015,,Not Listed,Not Listed,0,No,,,Recreation,Recreation,Virginia,800015,36.8548,-76.5346,Virginia,Suffolk,,0,TR-NANSEMOND RIVER,"Virginia, Congressional District 02",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,14,,,14,Less than 25 feet,,,,Undetermined,,60,60,12,,,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/26/2022,No,,Active,,No,AE,,TRUE,High
Lake Reynovia Dam,,,VA003175,,VA003175,Lake Reynovia Owners Association,Private,Private,0,No,,,Recreation,Recreation,Virginia,3175,37.9955,-78.5069,Virginia,Albemarle,,,BUSCUIT RUN,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,29,,,29,25-50 feet,150,,,Undetermined,,87,87,54,5.7,0.32,,,,,,,,,,12/4/2022,5/17/2013,,Undetermined,Satisfactory,5/17/2013,Yes,6/15/2017,https://damsafety.org/virginia,"Under Investigation, Planning, Permitting, or Design for Remediation",4/7/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Smith River Dam,,,VA089013,,VA089013,City of Martinsville Electric Dept,Local Government,Local Government,0,No,,,Hydroelectric,Hydroelectric,Virginia,89013,36.6646,-79.8835,Virginia,Henry,,2,SMITH RIVER,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Gravity,Gravity,,,38,,,38,25-50 feet,538,,,Undetermined,,2600,2600,800,55.6,378.9,,,,,,,,,,12/4/2022,8/29/2014,1,High,Fair,8/29/2014,Yes,1/29/2016,https://damsafety.org/virginia,Normal Operations,1/5/2021,No,,Active,,No,AE,FLOODWAY,TRUE,High
Rimrock Lake Dam,,,VA195012,,VA195012,G. W. Barnette,Private,Private,0,No,USDA NRCS,,Recreation,Recreation,Virginia,195012,36.913,-82.6878,Virginia,Wise,,0,,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,Natural Resources Conservation Service,,,,,,No,,Earth,Earth,,,22,,,22,Less than 25 feet,,,,Undetermined,,60,60,,,0.06,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Indian Swamp Dam,,,VA149009,,VA149009,,Not Listed,Not Listed,0,No,,,Recreation,Recreation,Virginia,149009,37.0237,-77.3789,Virginia,Prince George,,3,TR-ROWANTY CREEK,"Virginia, Congressional District 04",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,10,,,10,Less than 25 feet,,,,Undetermined,,52,52,17,,0.51,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/26/2022,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Mt. Airy Dam,,,VA159003,,VA159003,,Not Listed,Not Listed,0,No,,,Recreation,Recreation,Virginia,159003,37.9828,-76.7983,Virginia,Richmond,,,trib. Cat Point Creek,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,14,,,14,Less than 25 feet,,,,Undetermined,,103,103,,,4.63,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,A,,TRUE,High
Ragsdale Large Dam,,,VA143077,,VA143077,John Ragsdale,Private,Private,0,No,,,,,Virginia,143077,36.8795,-79.1963,Virginia,Pittsylvania,,,Unnamed Tributary to Bird Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,28,,,28,25-50 feet,360,,,Undetermined,,61,61,43,4.7,0.17,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Liverman Dam,,,VA157001,,VA157001,"Chester W. Fannon, Jr.",Private,Private,0,No,,,Recreation,Recreation,Virginia,157001,38.6638,-78.0406,Virginia,Rappahannock,,1,TR-Thorton River,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,25,,,25,25-50 feet,250,,,Undetermined,,106.95,106.95,89.13,9.51,0.69,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Evergreen Lake Dam,The Midlothian Co. Dam,,VA041040,,VA041040,Midlothian Company,Private,Private,0,No,,,Recreation,Recreation,Virginia,41040,37.4692,-77.6309,Virginia,Chesterfield,,,,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,22,,,22,Less than 25 feet,300,,,Undetermined,,72,72,,,0.74,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Scotts Pond,,,VA095048,,VA095048,,Not Listed,Not Listed,0,No,,,Recreation,Recreation,Virginia,95048,37.3217,-76.7507,Virginia,James City,,,trib.  Long Hill Swamp,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,16,,,16,Less than 25 feet,,,,Undetermined,,52,52,,,0.38,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,FALSE,Low
Mitchells Millpond Dam,,,VA101012,,VA101012,Norma McCarthy,Private,Private,0,No,,,Recreation,Recreation,Virginia,101012,37.8313,-77.1636,Virginia,King William,,0,Bridge Creek,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,11,,,11,Less than 25 feet,350,,,Undetermined,,183.7,183.7,114.2,21.3,10.7,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,A,,TRUE,High
Thomas L. and Patricia Smith Dam,01900dd053,,VA019053,,VA019053,Thomas L. and Patricia Smith,Private,Private,,No,,,,,Virginia,19053,37.1862,-79.4358,Virginia,Bedford,,,,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,30,,,30,25-50 feet,,,,Undetermined,,53.19,53.19,25.8,2.8,0.12,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Fuzzys Dam,,,VA143009,,VA143009,Larry Eugene Phillips Sr.,Private,Private,0,No,,,Recreation,Recreation,Virginia,143009,36.9775,-79.5007,Virginia,Pittsylvania,,1,FRYING PAN CREEK,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Rockfill,Rockfill,,,20,,,20,Less than 25 feet,,,,Undetermined,,74,74,41,,15.63,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,AE,,TRUE,High
Melody Lake Dam,,,VA067007,,VA067007,Melody Lake Improvement Association,Private,Private,0,No,,,Recreation,Recreation,Virginia,67007,37.1226,-79.9313,Virginia,Franklin,,0.8,CROOKED BRANCH,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,41,,,41,25-50 feet,215,,,Undetermined,,300,300,200,7.5,0.78,,,,,,,,,,12/4/2022,9/23/2002,,Undetermined,Not Rated,9/23/2002,Yes,11/17/2003,https://damsafety.org/virginia,"Under Investigation, Planning, Permitting, or Design for Remediation",3/11/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Carlton Dam,,,VA147013,,VA147013,,Not Listed,Not Listed,0,No,,,Recreation,Recreation,Virginia,147013,37.2702,-78.4262,Virginia,Prince Edward,,2,TR-LITTLE BUFFALO CREEK,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,23,,,23,Less than 25 feet,,,,Undetermined,,96,96,72,,0.68,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,6/18/2022,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Keltonic Lake Dam,,,VA061040,,VA061040,Mediteranean Bakery,Private,Private,0,No,,,Recreation,Recreation,Virginia,61040,38.5002,-77.6881,Virginia,Fauquier,,0,TR-Rock Run,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,18,,,18,Less than 25 feet,600,,,Undetermined,,56,56,49,,0.05,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Gouldmans Dam,Gouldaman Pond Dam,,VA033008,,VA033008,,Not Listed,Not Listed,0,No,,,Recreation,Recreation,Virginia,33008,38.1757,-77.2043,Virginia,Caroline,,1.07,GOLDENVALE CREEK,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,10,,,10,Less than 25 feet,550,,,Undetermined,,400,400,,80,16.85,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,A,,TRUE,High
Vpi ,Vpi Pond,,VA135008,,VA135008,Fort Pickett,Federal,Federal,0,No,,No,Irrigation,"Irrigation;Fire Protection, Stock, Or Small Fish Pond;Recreation",US Army,VA135008,37.09689,-77.95245,Virginia,Nottoway,,4,,"Virginia, Congressional District 05",No,No,,No,No,No,Yes,US Army,,,,US Army,,,US Army,No,,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,,19,26,26,25-50 feet,800,,1974,1970-1979,,238,238,100,5,0,,Uncontrolled,38,,,,,,,5/4/2021,9/14/1995,4,Low,Not Available,,Not Required,,https://www.army.mil/,,,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Lower Ski Pond,,,VA029047,,VA029047,Kyanite Mining Corp.,Private,Private,,No,,,Other,Other;Water Supply,Mine Safety and Health Administration,44-00170-03,37.493889,-78.456111,Virginia,Buckingham,"Hillcrest, VA.",2,,"Virginia, Congressional District 05",No,No,,No,No,No,Yes,,,,,Mine Safety and Health Administration,Mine Safety and Health Administration,,,No,,Earth,Earth,,,40,,,40,25-50 feet,1700,,,Undetermined,,1227,1227,,,,,,,,,,,,,5/3/2021,,,Significant,Not Available,,Yes,,https://www.msha.gov/training-education/safety-and-health-materials/safety-topic-impoundments-and-dams,,,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Pulte Mclean Swm Pond Dam,,,VA059046,,VA059046,Fairfax County Board of Supervisors,Local Government,Local Government,0,No,,,,,Virginia,59046,38.9376,-77.2415,Virginia,Fairfax,,,,"Virginia, Congressional District 11",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,17,,,17,Less than 25 feet,,,,Undetermined,,74,74,,,0.47,,,,,,,,,,12/4/2022,5/3/2022,1,High,Satisfactory,5/3/2022,Yes,4/22/2022,https://damsafety.org/virginia,Normal Operations,1/5/2021,No,,Active,,No,A,,TRUE,High
Johnson Dam,,,VA061014,,VA061014,Phillip W. Walker,Private,Private,0,No,USDA NRCS,,Recreation,Recreation,Virginia,61014,38.7625,-77.8382,Virginia,Fauquier,,0,Great Run,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,Natural Resources Conservation Service,,,,,,No,,Earth,Earth,,,25,,,25,25-50 feet,500,,,Undetermined,,221.9,221.9,131.8,17,1.25,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,Not Required,11/25/2003,https://damsafety.org/virginia,Not Applicable,3/9/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Bowmans Dam,,,VA067004,,VA067004,Josiah Weaver,Private,Private,0,No,,,Recreation,Recreation,Virginia,67004,37.1395,-79.9138,Virginia,Franklin,,5,TR-WHITE OAK CREEK,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,28,,,28,25-50 feet,,,,Undetermined,,64,64,34,3.7,0.9,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,Not Required,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Salmon Dam,Aldwyck #4,,VA075098,,VA075098,,Private,Private,0,No,,,Fish and Wildlife Pond,Fish and Wildlife Pond,Virginia,75098,37.7419,-77.8823,Virginia,Goochland,,,trib. Courthouse Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,18,,,18,Less than 25 feet,,,,Undetermined,,74,74,,,,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,Not Required,,https://damsafety.org/virginia,Not Applicable,3/9/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Lake Isaac Dam,,,VA069021,,VA069021,Lake Isaac Estates POA,Private,Private,0,No,,,Recreation,Recreation,Virginia,69021,39.2731,-78.383,Virginia,Frederick,,0,Isaacs Creek,"Virginia, Congressional District 06",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,39,,,39,25-50 feet,393,,,Undetermined,,424,424,213,20,2.85,,,,,,,,,,12/4/2022,7/1/2020,1,High,Satisfactory,7/1/2020,Yes,6/11/2012,https://damsafety.org/virginia,Normal Operations,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Brockett Dam,,,VA061037,,VA061037,Herbert Land LLC,Private,Private,0,No,,,Recreation,Recreation;Water Supply,Virginia,61037,38.9004,-77.8996,Virginia,Fauquier,,6,TR-Bolling Run,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,16,,,16,Less than 25 feet,250,,,Undetermined,,77,77,66,,0.57,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,Yes,10/29/1998,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Stuart Water Treatment Plant Dam,,,VA141061,,VA141061,VA DCR,Not Listed,Not Listed,,No,,,Water Supply,Water Supply,Virginia,141061,36.629,-80.2885,Virginia,Patrick,,,,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,34,34,34,34,25-50 feet,,,,Undetermined,,23,23,18,1.44,,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,Not Required,,https://damsafety.org/virginia,Not Applicable,3/9/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Tactical Bridge ,Engineer Pond,,VA135025,,VA135025,Fort Pickett,Federal,Federal,0,No,,No,Other,Other,US Army,VA135025,37.10871,-77.93598,Virginia,Nottoway,,40,,"Virginia, Congressional District 05",No,No,,No,No,No,Yes,US Army,,,,US Army,,,US Army,No,,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,,29,40,40,25-50 feet,345,,1980,1980-1989,,186,186,131,15,0,,Uncontrolled,32,,,,,,,5/4/2021,9/14/1995,4,Low,Not Available,,Not Required,,https://www.army.mil/,,,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Totier Creek Dam,,,VA003127,,VA003127,Rivanna Water and Sewer Authority,Public Utility,Public Utility,0,No,,,Water Supply,Water Supply;Recreation,Virginia,3127,37.7819,-78.5075,Virginia,Albemarle,,0.2,TOTIER CREEK,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,35,,,35,25-50 feet,277,,,Undetermined,,875,875,561,58.4,30,,,,,,,,,,12/4/2022,5/12/2021,6,Low,Satisfactory,5/12/2021,Yes,3/31/2019,https://damsafety.org/virginia,Normal Operations,1/5/2021,No,,Active,,No,A,,TRUE,High
Nicewonder Dam,,,VA051005,,VA051005,Mike and Gwen Yates,Private,Private,0,No,,,Recreation,Recreation,Virginia,51005,37.1794,-82.4962,Virginia,Dickenson,,4,TRIB-POUND RIVER,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,40,,,40,25-50 feet,350,,,Undetermined,,133,133,107,9,0.1,,,,,,,,,,12/4/2022,5/15/2013,6,Low,Not Rated,5/15/2013,No,,https://damsafety.org/virginia,"Under Investigation, Planning, Permitting, or Design for Remediation",3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Wade Dam #2,,,VA083016,,VA083016,John Wade,Private,Private,0,No,USDA NRCS,,Irrigation,Irrigation,Virginia,83016,36.6433,-79.0556,Virginia,Halifax,,0,CHALMERS CREEK,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,Natural Resources Conservation Service,,,,,,No,,Earth,Earth,,,28,,,28,25-50 feet,310,,,Undetermined,,99,99,70,7.6,0.34,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,Not Required,,https://damsafety.org/virginia,Not Applicable,3/9/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Parsons No. 2 Dam,,,VA183017,,VA183017,,Not Listed,Not Listed,0,No,,,Recreation,Recreation;Irrigation,Virginia,183017,36.8937,-77.56,Virginia,Sussex,,0,MANLOVE BR. OF HARRIS SWAMP,"Virginia, Congressional District 04",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,15,,,15,Less than 25 feet,,,,Undetermined,,50,50,12,,0.67,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/26/2022,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Waller Mill Dam,,,VA199003,,VA199003,City of Williamsburg,Public Utility,Public Utility,0,No,Wiley | Wilson,,Water Supply,Water Supply;Recreation,Virginia,199003,37.3031,-76.702,Virginia,York,,,QUEENS CREEK,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,40,,,40,25-50 feet,1190,,,Undetermined,,7274,7274,4603,351,6.87,,,,,,,,,,12/4/2022,10/28/2021,1,High,Fair,10/28/2021,Yes,8/25/2005,https://damsafety.org/virginia,"Under Investigation, Planning, Permitting, or Design for Remediation",3/9/2021,No,,Active,,No,A,,TRUE,High
